UnitID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
489937,64,52,61,72,,,,,,
433174,,,100,75,50,100,33,50,100,67
180106,80,81,84,79,79,80,81,86,78,83
238458,83,81,79,80,82,79,76,79,78,75
219806,68,63,70,70,65,71,69,60,64,68
238476,76,77,78,81,77,80,78,73,77,76
111638,50,30,100,67,53,43,63,56,63,83
439190,,,,,,63,62,64,63,59
201645,93,95,92,92,94,93,94,92,93,92
230834,66,69,72,75,74,69,74,71,69,71
198215,72,71,72,72,74,73,70,67,71,67
475398,,,,,,,,,,
143659,,,,,,,,,,
189848,71,70,68,73,71,73,72,68,57,70
439367,95,95,94,79,84,90,91,89,88,92
211468,75,80,82,79,79,69,67,70,76,71
201654,85,87,84,85,86,88,85,85,85,86
158477,70,76,78,73,74,80,76,69,68,72
183974,71,69,78,87,78,75,71,80,76,75
241793,,,,,,,,,,
232618,,,,,,,,,67,57
106713,62,54,64,75,65,71,67,50,69,64
154855,61,41,53,48,56,54,63,60,62,60
176910,53,64,58,55,65,77,70,56,75,57
153108,82,79,81,79,78,78,83,83,79,79
128771,72,74,76,78,78,80,77,76,77,81
445267,0,33,0,0,,,,,,
176947,69,73,68,66,65,64,57,72,62,68
169248,74,77,77,78,79,76,77,76,76,80
201690,46,54,47,40,54,51,53,43,55,46
234827,71,70,73,76,79,79,74,74,78,75
240514,55,57,59,62,53,47,47,52,52,51
488004,,,,,,,,,,
189857,69,64,64,21,66,74,68,72,72,59
234845,,,,,,,,,53,63
156408,90,90,91,93,89,90,90,91,91,92
180948,71,57,66,64,65,65,67,66,66,70
141486,86,79,77,74,74,76,73,69,71,67
492069,16,49,,,,,,,,
230852,82,77,79,82,79,81,79,78,76,76
111948,91,90,91,89,90,91,91,91,91,93
111966,70,53,,,,100,100,50,33,
217688,65,67,66,70,65,64,65,56,63,64
444778,,0,67,33,,0,0,67,40,82
128780,100,,100,,,,,,,
211556,80,78,85,80,76,77,77,76,70,73
211583,68,71,79,79,66,78,72,73,76,67
211608,70,36,56,65,44,55,54,65,45,55
181145,,,,,,,,,,
437732,,,,,84,54,56,40,62,67
492607,,,,,,,,,,
144005,52,60,61,52,58,53,54,48,53,60
144014,,,,,,,,,,
133021,,,,,,,,,,
198303,56,55,46,48,47,52,48,43,40,46
494630,60,,,,,,,,,
189981,,,,,,,,,,
219833,75,79,80,79,80,84,78,72,79,74
150215,,,,,,,,,,
231712,84,87,88,86,87,87,84,85,84,81
112127,,,,,,,,,,
201867,,,,,,,,,,
201928,46,50,47,52,49,42,48,51,48,47
217864,86,84,85,83,86,86,85,84,82,80
244233,,,,,,,,,,
406547,,,,,,,,,,88
434539,,,,,,,,,,
234915,,75,,,,,40,50,83,30
457697,,,,,,,0,,,
217873,70,76,79,77,77,71,70,74,77,70
112251,,,,,,,,,,
488387,,,,,,,,,,
112260,96,96,97,93,95,96,96,95,96,95
124283,,,,,,,,,,
211644,75,74,74,74,73,74,76,71,70,72
138947,74,70,70,67,67,61,65,62,66,66
234933,,,,,,64,60,59,60,63
201973,,47,57,46,49,48,39,40,47,48
165334,86,87,86,88,87,88,89,92,87,90
153126,72,71,75,71,76,73,76,81,80,73
211024,78,65,64,68,74,78,75,83,71,69
180832,59,70,77,77,71,66,69,88,79,67
190044,88,86,85,87,88,89,87,85,85,87
139311,71,71,68,71,69,67,73,68,67,60
156417,57,67,50,65,80,60,80,100,69,77
169327,81,70,67,70,65,72,43,80,36,79
217882,93,93,93,92,93,92,92,91,90,89
202046,79,86,89,82,83,81,78,79,79,88
202073,95,90,90,95,85,93,85,82,96,90
202134,74,72,70,71,71,70,67,65,66,64
177038,50,100,50,100,50,,100,100,20,0
217891,60,41,89,,,,,92,89,93
234951,,,,45,53,63,63,62,58,55
218724,68,69,67,69,65,67,63,60,63,64
153144,80,75,81,75,77,78,79,81,80,78
217907,62,51,61,60,73,64,59,69,83,71
161086,94,94,94,93,93,92,93,95,94,95
182634,71,73,73,75,78,76,74,73,72,65
